src_id,dst_id,weight,shared_controller_cnt
0,2319,1.0,1
0,2332,1.0,1
96,136,1.0,1
96,169,1.0,1
96,183,1.0,1
96,187,1.0,1
96,191,1.0,1
96,820,1.0,1
96,852,1.0,1
96,861,1.0,1
96,887,1.0,1
96,959,1.0,1
96,1038,1.0,1
96,1192,1.0,1
96,1201,1.0,1
96,1272,1.0,1
96,2192,1.0,1
96,2208,1.0,1
96,2212,1.0,1
96,2228,1.0,1
96,2241,1.0,1
96,2289,1.0,1
96,2297,1.0,1
96,2308,1.0,1
96,2313,1.0,1
96,2315,1.0,1
96,2348,1.0,1
96,2353,1.0,1
96,2467,1.0,1
96,2469,1.0,1
108,1268,1.0,1
125,1178,1.0,1
136,96,1.0,1
136,169,1.0,1
136,183,2.0,2
136,187,1.0,1
136,191,1.0,1
136,311,1.0,1
136,820,1.0,1
136,852,1.0,1
136,861,1.0,1
136,887,1.0,1
136,959,1.0,1
136,1038,1.0,1
136,1192,1.0,1
136,1201,1.0,1
136,1272,1.0,1
136,2192,1.0,1
136,2208,1.0,1
136,2212,1.0,1
136,2228,1.0,1
136,2241,1.0,1
136,2289,1.0,1
136,2297,1.0,1
136,2308,1.0,1
136,2313,1.0,1
136,2315,1.0,1
136,2348,1.0,1
136,2353,1.0,1
136,2467,1.0,1
136,2469,1.0,1
155,2190,1.0,1
168,439,1.0,1
169,96,1.0,1
169,136,1.0,1
169,183,1.0,1
169,187,1.0,1
169,191,1.0,1
169,820,1.0,1
169,852,1.0,1
169,861,1.0,1
169,887,1.0,1
169,959,1.0,1
169,1038,1.0,1
169,1192,1.0,1
169,1201,1.0,1
169,1272,1.0,1
169,2192,1.0,1
169,2208,1.0,1
169,2212,1.0,1
169,2228,1.0,1
169,2241,1.0,1
169,2289,1.0,1
169,2297,1.0,1
169,2308,1.0,1
169,2313,1.0,1
169,2315,1.0,1
169,2348,1.0,1
169,2353,1.0,1
169,2467,1.0,1
169,2469,1.0,1
183,96,1.0,1
183,136,2.0,2
183,169,1.0,1
183,187,1.0,1
183,191,1.0,1
183,311,1.0,1
183,820,1.0,1
183,852,1.0,1
183,861,1.0,1
183,887,1.0,1
183,959,1.0,1
183,1038,1.0,1
183,1192,1.0,1
183,1201,1.0,1
183,1272,1.0,1
183,2192,1.0,1
183,2208,1.0,1
183,2212,1.0,1
183,2228,1.0,1
183,2241,1.0,1
183,2289,1.0,1
183,2297,1.0,1
183,2308,1.0,1
183,2313,1.0,1
183,2315,1.0,1
183,2348,1.0,1
183,2353,1.0,1
183,2467,1.0,1
183,2469,1.0,1
187,96,1.0,1
187,136,1.0,1
187,169,1.0,1
187,183,1.0,1
187,191,1.0,1
187,820,1.0,1
187,852,1.0,1
187,861,2.0,2
187,887,1.0,1
187,959,1.0,1
187,1038,1.0,1
187,1192,1.0,1
187,1201,1.0,1
187,1272,1.0,1
187,2192,1.0,1
187,2208,1.0,1
187,2212,1.0,1
