src_id,dst_id,weight,equity_link_cnt
1,796,2.2146,4
1,3210,1.0,1
41,170,0.1624,1
50,852,1.5491,2
67,2322,0.01,1
94,96,1.6483,3
96,94,1.6483,3
96,2331,2.322,3
117,3900,0.3439,1
121,1865,0.4252,3
141,3317,0.02,2
153,1695,0.01,1
164,1871,0.275,2
170,41,0.1624,1
183,3445,0.40470000000000006,3
190,1983,2.029,5
204,3416,1.005425,2
212,2589,0.6166,3
265,667,0.01,1
375,2786,0.7382,1
508,2420,0.0955,2
529,986,0.5641,3
667,265,0.01,1
670,3788,0.5773999999999999,2
687,2332,0.01,1
687,2356,0.01,1
796,1,2.2146,4
817,2315,1.5963,2
852,50,1.5491,2
881,2194,1.9935,3
986,529,0.5641,3
1086,3409,0.03,3
1094,1328,0.0429,1
1124,2221,0.03,3
1188,2356,0.02,2
1292,2328,0.6328,3
1328,1094,0.0429,1
1695,153,0.01,1
1785,2172,0.02,2
1865,121,0.4252,3
1871,164,0.275,2
1959,2172,0.02,2
1983,190,2.029,5
2146,2148,1.0321,5
2148,2146,1.0321,5
2158,2301,0.02,2
2161,2209,0.34400000000000003,4
2172,1785,0.02,2
2172,1959,0.02,2
2185,2189,1.6115,2
2189,2185,1.6115,2
2194,881,1.9935,3
2202,3396,0.01,1
2209,2161,0.34400000000000003,4
2221,1124,0.03,3
2260,3094,1.01,2
2301,2158,0.02,2
2315,817,1.5963,2
2322,67,0.01,1
2328,1292,0.6328,3
2331,96,2.322,3
2332,687,0.01,1
2336,3061,0.01,1
2347,2445,0.02,2
2356,687,0.01,1
2356,1188,0.02,2
2356,3390,0.03,3
2420,508,0.0955,2
2445,2347,0.02,2
2589,212,0.6166,3
2786,375,0.7382,1
3061,2336,0.01,1
3094,2260,1.01,2
3210,1,1.0,1
3317,141,0.02,2
3390,2356,0.03,3
3396,2202,0.01,1
3409,1086,0.03,3
3416,204,1.005425,2
3445,183,0.40470000000000006,3
3788,670,0.5773999999999999,2
3900,117,0.3439,1
