src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
001218,001218,湖南丽臣实业股份有限公司,2023-04-18,,4700.0,P7912,CNY,True,2023
002353,301158,德州联合石油科技股份有限公司,2017-12-19,2018-08-07,150.0,P7912,CNY,True,2017
002353,301158,德州联合石油科技股份有限公司,2017-11-24,2018-08-07,2190.0,P7912,CNY,True,2017
002353,301158,德州联合石油科技股份有限公司,2019-04-10,,150.0,P7912,CNY,True,2019
002353,301158,德州联合石油科技股份有限公司,2019-04-10,,2190.0,P7912,CNY,True,2019
002353,301158,德州联合石油科技股份有限公司,2018-12-28,2020-06-29,3000.0,P7912,CNY,True,2018
002353,301158,德州联合石油科技股份有限公司,2019-08-22,2020-08-21,2100.0,P7912,CNY,True,2019
002353,301158,德州联合石油科技股份有限公司,2018-12-28,2020-06-29,3500.0,P7912,CNY,True,2018
002353,301158,德州联合石油科技股份有限公司,2019-08-22,2020-08-21,2100.0,P7912,CNY,True,2019
002353,301158,德州联合石油科技股份有限公司,2018-12-28,2020-12-29,6500.0,P7912,CNY,True,2018
002388,600884,宁波杉杉股份有限公司,2024-04-30,,10014.35,P7912,CNY,True,2024
002403,000913,浙江钱江摩托股份有限公司,2018-04-25,,0.0,P7912,CNY,True,2018
002403,000913,浙江钱江摩托股份有限公司,2017-10-02,2018-10-01,0.0,"P7911,P7912",CNY,True,2017
002411,002411,延安必康制药股份有限公司,2020-04-30,,,P7930,CNY,True,2020
002420,600143,金发科技股份有限公司,2016-09-13,,,P7912,CNY,True,2016
002420,600143,金发科技股份有限公司,2017-04-22,,40000.0,P7912,CNY,True,2017
002420,600143,金发科技股份有限公司,2016-09-10,2018-09-10,40000.0,P7912,CNY,True,2016
002420,600143,金发科技股份有限公司,2016-09-10,2018-09-10,40000.0,P7912,CNY,True,2016
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-01,,,"P7911,P7912",CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-30,,,"P7911,P7912",CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-11-21,,,"P7911,P7912",CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-12-23,,,"P7911,P7912",CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-13,,,"P7912,P7920,P7930,P7940,P7950",CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-13,,,"P7911,P7912",CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-27,,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-04-06,,10000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-10-26,2021-10-19,4000.0,P7912,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-02-10,2021-02-09,5000.0,P7912,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-05-28,2021-05-24,10000.0,P7912,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-12-21,2021-12-20,20000.0,P7912,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-04-28,,30000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-04-28,,270000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-25,2022-03-24,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2023-12-30,3187.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2023-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2022-04-11,,30000.0,P7912,CNY,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2025-07-30,3750.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2023-12-30,4687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2025-03-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2024-12-30,3750.0,P7910,CNY,True,2020
