Stkcd,event_date,LongTermRating,RatingProspect,RatingInstitution,DeclareDate,RatingDate
000166,2013-12-27,AAA,稳定,中诚信国际信用评级有限责任公司,2014-01-02,2013-12-27
000166,2014-01-24,AAA,稳定,中诚信国际信用评级有限责任公司,2014-02-13,2014-01-24
000166,2014-02-24,AAA,稳定,中诚信国际信用评级有限责任公司,2014-03-03,2014-02-24
000166,2014-04-29,AAA,稳定,中诚信国际信用评级有限责任公司,2014-05-12,2014-04-29
000166,2014-05-15,AAA,稳定,中诚信国际信用评级有限责任公司,2014-05-22,2014-05-15
000166,2014-06-04,AAA,稳定,中诚信国际信用评级有限责任公司,2014-06-13,2014-06-04
000166,2014-06-30,AAA,稳定,中诚信国际信用评级有限责任公司,2014-07-10,2014-06-30
000166,2014-06-28,AAA,稳定,中诚信国际信用评级有限责任公司,2014-07-11,2014-06-28
000166,2014-07-30,AAA,稳定,中诚信国际信用评级有限责任公司,2014-08-07,2014-07-30
000166,2014-08-11,AAA,稳定,中诚信国际信用评级有限责任公司,2014-08-19,2014-08-11
000166,2014-08-22,AAA,稳定,中诚信国际信用评级有限责任公司,2014-08-28,2014-08-22
000166,2014-11-18,AAA,稳定,中诚信国际信用评级有限责任公司,2014-11-20,2014-11-18
000166,2014-12-01,AAA,稳定,中诚信国际信用评级有限责任公司,2014-12-03,2014-12-01
000166,2014-12-09,AAA,稳定,中诚信国际信用评级有限责任公司,2014-12-12,2014-12-09
000166,2016-03-11,AAA,稳定,上海新世纪资信评估投资服务有限公司,2016-04-22,2016-03-11
000166,2016-06-24,AAA,稳定,上海新世纪资信评估投资服务有限公司,2016-06-28,2016-06-24
000166,2016-06-23,,,中诚信证券评估有限公司,2016-06-30,2016-06-23
000166,2016-09-01,AAA,稳定,上海新世纪资信评估投资服务有限公司,2016-09-07,2016-09-01
000166,2017-05-24,AAA,稳定,上海新世纪资信评估投资服务有限公司,2017-05-26,2017-05-24
000166,2017-05-25,AAA,稳定,中诚信证券评估有限公司,2017-05-26,2017-05-25
000166,2018-06-13,AAA,稳定,上海新世纪资信评估投资服务有限公司,2018-06-19,2018-06-13
000166,2018-05-14,AAA,稳定,上海新世纪资信评估投资服务有限公司,2018-07-11,2018-05-14
000166,2019-04-26,AAA,稳定,上海新世纪资信评估投资服务有限公司,2019-04-26,2019-04-26
000166,2020-05-26,AAA,稳定,上海新世纪资信评估投资服务有限公司,2020-05-27,2020-05-26
000166,2021-02-08,AAA,稳定,联合资信评估股份有限公司,2021-03-03,2021-02-08
000166,2021-05-26,AAA,稳定,联合资信评估股份有限公司,2021-05-26,2021-05-26
000166,2021-05-26,AAA,稳定,上海新世纪资信评估投资服务有限公司,2021-05-27,2021-05-26
000166,2021-06-08,AAA,稳定,联合资信评估股份有限公司,2021-07-12,2021-06-08
000166,2021-07-22,AAA,稳定,联合资信评估股份有限公司,2021-07-30,2021-07-22
000166,2022-02-09,AAA,稳定,联合资信评估股份有限公司,2022-03-02,2022-02-09
000166,2022-04-18,AAA,稳定,联合资信评估股份有限公司,2022-04-20,2022-04-18
000166,2022-05-30,AAA,稳定,上海新世纪资信评估投资服务有限公司,2022-05-30,2022-05-30
000166,2022-05-30,AAA,稳定,联合资信评估股份有限公司,2022-05-30,2022-05-30
000166,2022-08-22,AAA,稳定,联合资信评估股份有限公司,2022-08-24,2022-08-22
000166,2022-09-01,AAA,稳定,联合资信评估股份有限公司,2022-09-01,2022-09-01
000166,2023-05-30,AAA,稳定,上海新世纪资信评估投资服务有限公司,2023-05-30,2023-05-30
000166,2023-05-30,AAA,稳定,联合资信评估股份有限公司,2023-05-30,2023-05-30
000166,2023-06-02,AAA,稳定,联合资信评估股份有限公司,2023-06-08,2023-06-02
000166,2023-08-23,AAA,稳定,联合资信评估股份有限公司,2023-08-29,2023-08-23
000166,2024-03-04,AAA,稳定,联合资信评估股份有限公司,2024-03-07,2024-03-04
000166,2024-05-29,AAA,稳定,联合资信评估股份有限公司,2024-05-29,2024-05-29
000166,2024-11-22,AAA,稳定,联合资信评估股份有限公司,2024-11-27,2024-11-22
000333,2016-02-24,AAA,稳定,大公国际资信评估有限公司,2016-06-13,2016-02-24
000333,2020-03-16,AAA,稳定,联合资信评估有限公司,2020-04-24,2020-03-16
000333,2020-03-16,AAA,稳定,联合资信评估有限公司,2020-05-13,2020-03-16
000333,2020-03-16,AAA,稳定,联合资信评估有限公司,2020-05-20,2020-03-16
000333,2020-07-03,AAA,稳定,联合资信评估有限公司,2020-08-26,2020-07-03
000333,2020-07-03,AAA,稳定,联合资信评估股份有限公司,2020-09-25,2020-07-03
000333,2020-07-03,AAA,稳定,联合资信评估股份有限公司,2020-10-26,2020-07-03
000333,2020-07-03,AAA,稳定,联合资信评估股份有限公司,2020-11-25,2020-07-03
000333,2020-07-03,AAA,稳定,联合资信评估股份有限公司,2021-03-26,2020-07-03
000333,2022-04-06,AAA,稳定,标普信用评级(中国)有限公司,2022-04-26,2022-04-06
001203,2022-03-15,AA,稳定,中证鹏元资信评估股份有限公司,2022-08-13,2022-03-15
001203,2023-05-29,AA,稳定,中证鹏元资信评估股份有限公司,2023-05-31,2023-05-29
001203,2024-01-12,,,中证鹏元资信评估股份有限公司,2024-01-13,2024-01-12
