src_stkcd,year,guar_event_cnt,guar_amt_sum,guar_amt_mean,guar_listed_target_cnt,guar_nonlisted_target_cnt,guar_listed_target_ratio
000166,2019,3,0.0,0.0,0,3,0.0
000166,2020,7,0.0,0.0,0,7,0.0
000166,2021,5,0.0,0.0,0,5,0.0
000166,2023,2,235391.87,117695.935,0,2,0.0
000166,2024,8,78000.0,9750.0,0,8,0.0
000333,2014,122,1081019.0,25139.976744186046,0,122,0.0
000333,2015,109,1037817.0,19218.833333333332,0,109,0.0
000333,2016,125,337817.0,6142.127272727273,0,125,0.0
000333,2017,135,1852795.0,51466.52777777778,0,135,0.0
000333,2018,140,3818522.0,56992.86567164179,0,140,0.0
000333,2019,163,3693762.0,49915.7027027027,0,163,0.0
000333,2020,179,1801992.0,58128.77419354839,0,179,0.0
000333,2021,90,4582799.0,127299.97222222222,0,90,0.0
000333,2022,109,4338435.0,86768.7,0,109,0.0
000333,2023,121,5705313.0,114106.26,0,121,0.0
000333,2024,166,5806421.0,90725.328125,0,166,0.0
001201,2022,3,5000.0,1666.6666666666667,0,3,0.0
001201,2023,7,70127.85,10018.264285714287,0,7,0.0
001201,2024,12,134345.59,11195.465833333334,0,12,0.0
001202,2020,3,0.0,0.0,0,3,0.0
001202,2022,8,0.0,0.0,0,8,0.0
001202,2023,1,0.0,0.0,0,1,0.0
001202,2034,16,6549.9,409.36875,0,16,0.0
001203,2022,6,139870.0,27974.0,0,6,0.0
001203,2023,8,93000.0,31000.0,0,8,0.0
001203,2024,11,235000.0,29375.0,0,11,0.0
001205,2022,4,11817.57,2954.3925,0,4,0.0
001205,2023,2,0.0,0.0,0,2,0.0
001207,2019,1,5880.0,5880.0,0,1,0.0
001207,2020,2,3000.0,1500.0,0,2,0.0
001207,2021,4,6000.0,1500.0,0,4,0.0
001207,2022,13,44400.0,3415.3846153846152,0,13,0.0
001207,2023,7,23500.0,3357.1428571428573,0,7,0.0
001211,2020,3,12370.0,4123.333333333333,0,3,0.0
001211,2022,4,12000.0,3000.0,0,4,0.0
001211,2023,1,6700.0,6700.0,0,1,0.0
001211,2024,4,8000.0,2000.0,0,4,0.0
001218,2019,2,5900.0,2950.0,0,2,0.0
001218,2020,3,24289.02,8096.34,0,3,0.0
001218,2021,1,8000.0,8000.0,0,1,0.0
001218,2022,2,9237.15,4618.575,0,2,0.0
001218,2023,8,30923.82,4417.688571428572,1,7,0.125
001218,2024,7,5398.9,771.2714285714285,0,7,0.0
001222,2023,1,366.75,366.75,0,1,0.0
001222,2024,2,0.0,0.0,0,2,0.0
001225,2023,2,0.0,0.0,0,2,0.0
001225,2024,2,0.0,0.0,0,2,0.0
001227,2022,1,5000.0,5000.0,0,1,0.0
001227,2023,9,39726.0,4414.0,0,9,0.0
001228,2024,12,59176.8,4931.400000000001,0,12,0.0
001230,2023,26,93537.48,3597.5953846153843,0,26,0.0
001230,2024,21,77153.35,3673.969047619048,0,21,0.0
001231,2023,3,9764.41,3254.8033333333333,0,3,0.0
001231,2024,2,13531.21,6765.605,0,2,0.0
001234,2023,1,742.14,742.14,0,1,0.0
001234,2024,1,785.76,785.76,0,1,0.0
001256,2024,6,4917.18,819.5300000000001,0,6,0.0
001258,2023,28,307405.69,10978.774642857143,0,28,0.0
001258,2024,27,297225.84,11008.364444444445,0,27,0.0
001260,2021,1,1000.0,1000.0,0,1,0.0
001267,2019,2,39800.0,19900.0,0,2,0.0
001267,2020,2,32450.63,16225.315,0,2,0.0
001267,2021,4,82045.0,20511.25,0,4,0.0
001267,2022,6,68045.0,11340.833333333334,0,6,0.0
001267,2023,3,3238.57,1079.5233333333333,0,3,0.0
001268,2021,1,885.0,885.0,0,1,0.0
001268,2024,9,2370.41,263.37888888888887,0,9,0.0
001278,2020,3,7800.0,2600.0,0,3,0.0
001278,2021,12,38800.0,3233.3333333333335,0,12,0.0
001278,2022,4,20000.0,5000.0,0,4,0.0
001278,2023,11,58900.0,5354.545454545455,0,11,0.0
001282,2024,18,14348.8,797.1555555555556,0,18,0.0
001283,2023,18,91996.0,5110.888888888889,0,18,0.0
001283,2024,25,154782.78,6191.3112,0,25,0.0
001286,2024,7,372936.29,53276.612857142856,0,7,0.0
001287,2023,6,431182.8,71863.8,0,6,0.0
001287,2024,5,347509.16,69501.832,0,5,0.0
001289,2022,6,41986.18,6997.696666666667,0,6,0.0
001289,2023,6,32691.28,5448.546666666666,0,6,0.0
001289,2024,5,26199.62,5239.924,0,5,0.0
001296,2020,1,350.0,350.0,0,1,0.0
001298,2021,3,7767.34,2589.1133333333332,0,3,0.0
001298,2023,17,334625.45,19683.850000000002,0,17,0.0
001300,2019,1,11000.0,11000.0,0,1,0.0
001300,2021,1,3300.0,3300.0,0,1,0.0
001300,2022,1,5500.0,5500.0,0,1,0.0
001300,2023,3,19800.0,6600.0,0,3,0.0
001301,2023,5,44053.99,8810.797999999999,0,5,0.0
001301,2024,6,49031.34,8171.889999999999,0,6,0.0
001306,2024,4,1198.0,399.3333333333333,0,4,0.0
001308,2023,93,226245.1,2432.7430107526884,0,93,0.0
001308,2024,30,568694.26,18956.475333333332,0,30,0.0
001309,2024,2,0.0,0.0,0,2,0.0
001311,2023,3,15635.0,5211.666666666667,0,3,0.0
001311,2024,4,19385.0,4846.25,0,4,0.0
001313,2021,2,11999.560000000001,5999.780000000001,0,2,0.0
001313,2022,24,44580.47,1857.5195833333335,0,24,0.0
001313,2023,29,65154.79,2246.716896551724,0,29,0.0
001313,2024,47,114399.34,2434.0285106382976,0,47,0.0
001314,2017,1,0.0,0.0,0,1,0.0
001314,2021,5,28236.309999999998,5647.262,0,5,0.0
001314,2022,6,11452.25,2863.0625,0,6,0.0
001314,2023,2,0.0,0.0,0,2,0.0
001314,2024,1,0.0,0.0,0,1,0.0
001317,2021,16,21314.82,1332.17625,0,16,0.0
001317,2022,2,1042.69,521.345,0,2,0.0
001317,2023,7,4502.59,643.2271428571429,0,7,0.0
001319,2022,4,5000.0,1250.0,0,4,0.0
001322,2022,10,8877.65,887.765,0,10,0.0
001322,2023,97,534222.08,5507.44412371134,0,97,0.0
001322,2024,75,328029.77,4373.7302666666665,0,75,0.0
001323,2022,3,20000.0,6666.666666666667,0,3,0.0
001323,2023,3,4114.79,1371.5966666666666,0,3,0.0
001323,2024,5,41628.99,13876.33,0,5,0.0
001326,2024,5,2755.0,551.0,0,5,0.0
001330,2023,38,338136.9,9661.054285714286,0,38,0.0
001330,2024,40,129625.96,3503.4043243243245,0,40,0.0
001336,2024,1,300.0,300.0,0,1,0.0
001338,2023,2,7025.77,3512.885,0,2,0.0
001338,2024,2,5803.2,2901.6,0,2,0.0
001339,2023,2,26925.16,13462.58,0,2,0.0
001358,2023,1,1491.44,1491.44,0,1,0.0
001359,2024,4,13000.0,3250.0,0,4,0.0
001360,2023,4,1837.95,459.4875,0,4,0.0
001360,2024,6,2905.91,484.3183333333333,0,6,0.0
001366,2022,2,15831.52,7915.76,0,2,0.0
001366,2024,12,470.0,39.166666666666664,0,12,0.0
001368,2022,4,8740.0,2185.0,0,4,0.0
001368,2023,2,4500.0,2250.0,0,2,0.0
001376,2019,3,23308.8,7769.599999999999,0,3,0.0
001376,2020,3,11149.48,3716.4933333333333,0,3,0.0
001376,2021,2,11482.130000000001,5741.0650000000005,0,2,0.0
001376,2022,15,22443.34,1496.2226666666668,0,15,0.0
001376,2023,11,22120.0,2010.909090909091,0,11,0.0
001378,2024,5,45770.0,9154.0,0,5,0.0
001389,2021,1,7000.0,7000.0,0,1,0.0
001389,2022,4,8617.36,2154.34,0,4,0.0
001389,2023,1,8306.43,8306.43,0,1,0.0
001872,2013,1,7665.57,7665.57,0,1,0.0
001872,2016,2,4838.558,2419.279,0,2,0.0
001872,2019,36,2401202.605269,104400.11327256521,0,36,0.0
001872,2020,44,2631298.003348,105251.92013392,0,44,0.0
001872,2021,36,2584148.67,123054.69857142857,0,36,0.0
001872,2022,30,2609106.16,108712.75666666667,0,30,0.0
001872,2023,35,3014655.19,131071.96478260869,0,35,0.0
001872,2024,28,2580150.88,151773.5811764706,0,28,0.0
001914,2015,1,20750.0,20750.0,0,1,0.0
