Stkcd,Listdt,Stknme,DelistedDate,Markettype,Conme,Nnindcd,Statco,latest_profile_date,Regcap
000166,2015-01-26,申万宏源,,4,申万宏源集团股份有限公司,J67,A,2023-12-31,22535944560.0
000333,2013-09-18,美的集团,,4,美的集团股份有限公司,C38,A,2024-12-31,7675588172.0
001201,2021-04-28,东瑞股份,,4,东瑞食品集团股份有限公司,A03,A,2023-12-31,257784001.0
001202,2021-04-29,炬申股份,,4,炬申物流集团股份有限公司,G58,A,2025-12-31,166691110.0
001203,2021-05-10,大中矿业,,4,大中矿业股份有限公司,B08,A,2023-12-31,1508021588.0
001205,2021-05-13,盛航股份,,4,南京盛航海运股份有限公司,G55,A,2025-12-31,188001336.0
001206,2021-05-18,依依股份,,4,天津市依依卫生用品股份有限公司,C22,A,2024-12-31,94333576.0
001207,2021-06-23,联科科技,,4,山东联科科技股份有限公司,C26,A,2024-12-31,216526960.0
001208,2021-06-24,华菱线缆,,4,湖南华菱线缆股份有限公司,C38,A,2024-12-31,638350432.0
001209,2021-07-23,洪兴股份,,4,广东洪兴实业股份有限公司,C18,A,2024-12-31,131522720.0
001210,2021-07-29,金房能源,,4,金房能源集团股份有限公司,D44,A,2025-12-31,156812676.0
001211,2021-08-05,双枪科技,,4,双枪科技股份有限公司,C20,A,2024-12-31,72000000.0
001212,2021-08-23,中旗新材,,4,广东中旗新材料股份有限公司,C30,A,2024-12-31,182874555.0
001213,2021-09-08,中铁特货,,4,中铁特货物流股份有限公司,G53,A,2025-12-31,4444444444.0
001215,2021-09-06,千味央厨,,4,郑州千味央厨食品股份有限公司,C14,A,2024-12-31,97160446.0
001216,2021-10-19,华瓷股份,,4,湖南华联瓷业股份有限公司,C30,A,2023-12-31,251866700.0
001217,2021-09-29,华尔泰,,4,安徽华尔泰化工股份有限公司,C26,A,2023-12-31,331870000.0
001218,2021-10-15,丽臣实业,,4,湖南丽臣实业股份有限公司,C26,A,2024-12-31,130178260.0
001219,2021-10-21,青岛食品,,4,青岛食品股份有限公司,C14,A,2024-12-31,194983750.0
001222,2022-08-18,源飞宠物,,4,温州源飞宠物玩具制品股份有限公司,C24,A,2024-12-31,190890000.0
001223,2022-12-12,欧克科技,,4,欧克科技股份有限公司,C35,A,2025-12-31,93352000.0
001225,2023-02-22,和泰机电,,4,杭州和泰机电股份有限公司,C34,A,2024-12-31,65866800.0
001226,2022-06-22,拓山重工,,4,安徽拓山重工股份有限公司,C33,A,2023-12-31,74666700.0
001227,2022-01-17,兰州银行,,4,兰州银行股份有限公司,J66,A,2024-12-31,5695697168.0
001228,2022-04-29,永泰运,,4,永泰运化工物流股份有限公司,L72,A,2024-12-31,103864609.0
001229,2022-08-08,魅视科技,,4,广东魅视科技股份有限公司,C39,A,2023-12-31,100000000.0
001230,2022-07-15,劲旅环境,,4,劲旅环境科技股份有限公司,N78,A,2024-12-31,134226057.0
001231,2022-08-19,农心科技,,4,农心作物科技股份有限公司,C26,A,2024-12-31,99940000.0
001234,2022-01-11,泰慕士,,4,江苏泰慕士针纺科技股份有限公司,C18,A,2024-12-31,109413700.0
001236,2022-08-05,弘业期货,,4,苏豪弘业期货股份有限公司,J67,A,2024-12-31,1007777778.0
001238,2022-09-19,浙江正特,,4,浙江正特股份有限公司,C21,A,2024-12-31,110820000.0
001239,2023-12-12,永达股份,,4,湘潭永达机械制造股份有限公司,C33,A,2025-12-31,240000000.0
001255,2022-09-30,博菲电气,,4,浙江博菲电气股份有限公司,C26,A,2024-12-31,86336184.0
001256,2022-12-05,炜冈科技,,4,浙江炜冈科技股份有限公司,C35,A,2024-12-31,142612558.0
001258,2022-07-27,立新能源,,4,新疆立新能源股份有限公司,D44,A,2024-12-31,933333334.0
001259,2022-08-31,利仁科技,,4,北京利仁科技股份有限公司,C38,A,2023-12-31,73588888.0
001260,2023-02-16,坤泰股份,,4,山东坤泰新材料科技股份有限公司,C36,A,2025-12-31,115000000.0
001266,2022-02-28,宏英智能,,4,上海宏英智能科技股份有限公司,C40,A,2024-12-31,103162902.0
001267,2021-11-17,汇绿生态,,4,汇绿生态科技集团股份有限公司,E48,A,2024-12-31,785164678.0
001268,2022-06-30,联合精密,,4,广东扬山联合精密制造股份有限公司,C34,A,2023-12-31,107933334.0
001269,2022-09-30,欧晶科技,,4,内蒙古欧晶科技股份有限公司,C42,A,2024-12-31,192407260.0
001270,2022-06-06,*ST 铖昌,,4,浙江铖昌科技股份有限公司,C39,N,2024-12-31,206114901.0
001277,2024-09-03,速达股份,,4,郑州速达工业机械服务股份有限公司,C43,A,2025-12-31,76000000.0
001278,2023-03-08,一彬科技,,4,宁波一彬电子科技股份有限公司,C36,A,2024-12-31,123733400.0
001279,2024-10-11,强邦新材,,4,安徽强邦新材料股份有限公司,C23,A,2025-12-31,160000000.0
001282,2023-05-24,三联锻造,,4,芜湖三联锻造股份有限公司,C36,A,2024-12-31,222185600.0
001283,2022-09-05,豪鹏科技,,4,深圳市豪鹏科技股份有限公司,C38,A,2024-12-31,99943067.0
001286,2023-04-10,陕西能源,,4,陕西能源投资股份有限公司,D44,A,2024-12-31,3750000000.0
001287,2023-04-10,中电港,,4,深圳中电港技术股份有限公司,F51,A,2023-12-31,759900097.0
001288,2021-11-01,运机集团,,4,四川省自贡运输机械集团股份有限公司,C34,A,2024-12-31,234877907.0
001289,2022-01-24,龙源电力,,4,龙源电力集团股份有限公司,D44,A,2023-12-31,8036389000.0
001296,2021-12-24,长江材料,,4,重庆长江造型材料(集团)股份有限公司,C30,A,2024-12-31,149591086.0
001298,2022-10-31,好上好,,4,深圳市好上好信息科技股份有限公司,F51,A,2024-12-31,296785536.0
001299,2022-10-31,美能能源,,4,陕西美能清洁能源集团股份有限公司,D45,A,2024-12-31,242638606.0
001300,2022-10-19,三柏硕,,4,青岛三柏硕健康科技股份有限公司,C24,A,2025-12-31,243775914.0
001301,2022-12-28,尚太科技,,4,石家庄尚太科技股份有限公司,C30,A,2024-12-31,260802350.0
001306,2023-11-16,夏厦精密,,4,浙江夏厦精密制造股份有限公司,C34,A,2024-12-31,62850600.0
001308,2022-03-18,康冠科技,,4,深圳市康冠科技股份有限公司,C39,A,2024-12-31,701783830.0
001309,2022-07-01,德明利,,4,深圳市德明利技术股份有限公司,C39,A,2024-12-31,226886272.0
001311,2023-02-27,多利科技,,4,滁州多利汽车科技股份有限公司,C36,A,2024-12-31,310509334.0
001313,2022-02-16,粤海饲料,,4,广东粤海饲料集团股份有限公司,C13,A,2024-12-31,700000000.0
001314,2023-02-14,亿道信息,,4,深圳市亿道信息股份有限公司,C39,A,2024-12-31,142634000.0
001316,2022-06-24,润贝航科,,4,润贝航空科技股份有限公司,F51,A,2024-12-31,115115420.0
001317,2021-11-30,三羊马,,4,三羊马(重庆)物流股份有限公司,G58,A,2024-12-31,85565798.0
001318,2022-05-20,阳光乳业,,4,江西阳光乳业股份有限公司,C14,A,2024-12-31,282660000.0
001319,2022-05-12,铭科精技,,4,铭科精技控股股份有限公司,C36,A,2023-12-31,141400000.0
001322,2022-10-26,箭牌家居,,4,箭牌家居集团股份有限公司,C30,A,2024-12-31,967162960.0
001323,2022-06-23,慕思股份,,4,慕思健康睡眠股份有限公司,C21,A,2024-12-31,435080764.0
001324,2023-05-22,长青科技,,4,常州长青科技股份有限公司,C37,A,2023-12-31,138000000.0
001326,2023-11-09,联域股份,,4,深圳市联域光电股份有限公司,C38,A,2024-12-31,73200000.0
001328,2023-04-10,登康口腔,,4,重庆登康口腔护理用品股份有限公司,C26,A,2024-12-31,172173800.0
001330,2022-08-18,博纳影业,,4,博纳影业集团股份有限公司,R86,A,2023-12-31,1374519000.0
001331,2022-09-08,胜通能源,,4,胜通能源股份有限公司,D45,N,2024-12-31,282240000.0
001332,2022-09-20,锡装股份,,4,无锡化工装备股份有限公司,C35,A,2024-12-31,110490000.0
001333,2022-12-08,光华股份,,4,浙江光华科技股份有限公司,C26,A,2023-12-31,128000000.0
001336,2022-07-25,楚环科技,,4,杭州楚环科技股份有限公司,C35,A,2024-12-31,80373500.0
001337,2023-03-03,四川黄金,,4,四川黄金股份有限公司,B09,A,2023-12-31,420000000.0
001338,2022-11-16,永顺泰,,4,粤海永顺泰集团股份有限公司,C15,A,2024-12-31,501730834.0
001339,2022-08-15,智微智能,,4,深圳市智微智能科技股份有限公司,C39,A,2024-12-31,251683168.0
001358,2023-12-21,兴欣新材,,4,绍兴兴欣新材料股份有限公司,C26,A,2025-12-31,123200000.0
001359,2024-03-28,平安电工,,4,湖北平安电工科技股份公司,C30,A,2025-12-31,185503165.0
001360,2023-04-10,南矿集团,,4,南昌矿机集团股份有限公司,C35,A,2023-12-31,204000000.0
