Stkcd,year,Markettype,Nnindcd,Statco,Regcap,total_assets,total_liabilities,total_equity,revenue_total,revenue_main,cashflow_operating,asset_liability_ratio,guar_event_cnt,guar_amt_sum,guar_amt_mean,guar_listed_target_cnt,guar_nonlisted_target_cnt,guar_listed_target_ratio,rating_event_cnt,rating_agency_nunique,rating_longterm_nonnull_cnt,rating_latest_longterm,rating_latest_prospect,has_financial,has_rating,rating_norm,rating_score,prospect_code,label_rating_next_year,label_rating_score_next_year,label_downgrade_next_year
002377,2011,4,K70,A,916325201.0,187336860.11,,322548946.59,917284650.36,917284650.36,619962252.44,,5.0,8750.0115,2187.502875,0.0,5.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002418,2011,4,C34,A,1136400000.0,139075784.39,,297489390.37,1135072185.2,1135072185.2,451736211.96,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002431,2011,4,E48,A,1802404765.0,648134975.78,,716421091.51,2493495674.68,2493495674.68,1515261851.82,,2.0,6040.0,3020.0,0.0,2.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002480,2011,4,C34,A,560000000.0,1071340803.2,,954074027.08,1754122669.61,1754122669.61,1482366942.79,,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002506,2011,4,C39,A,5850316427.0,249407670.55,,3052025068.55,3332581037.24,3332581037.24,2254551969.44,,33.0,89400.0,4966.666666666667,0.0,33.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA-,17.0,1.0
002539,2011,4,C26,A,1207723762.0,518957853.36,,21345415.27,1216098541.07,1216098541.07,1246256765.6,,29.0,116300.0,5286.363636363636,0.0,29.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002564,2011,4,E48,A,869375282.0,513040325.28,,706945214.96,1468562143.02,1468562143.02,1445815685.52,,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002574,2011,4,C24,A,528000000.0,702346220.22,,350416078.1,5888279065.4,5888279065.4,6768820128.99,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
601106,2011,1,C35,A,6538000000.0,1679536716.5,,8124033687.33,7510228641.55,7510228641.55,4841280255.35,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AAA,负面,1,1,AAA,21.0,-1.0,AAA,21.0,0.0
601880,2011,1,G55,A,23571767213.0,1875669875.44,,294863097.01,3955394389.8,3955394389.8,2446979578.48,,10.0,54518.0,5451.8,0.0,10.0,0.0,1.0,1.0,1.0,AAA,稳定,1,1,AAA,21.0,0.0,AAA,21.0,0.0
002340,2012,4,C42,A,5103333507.0,679656463.63,0.0,4262396.7,1418421038.62,1418421038.62,78543734.94,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002347,2012,4,C34,A,187200000.0,64145287.84,0.0,302710357.25,406746701.27,406746701.27,191003729.96,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002375,2012,4,E50,A,635437500.0,1659475017.73,0.0,3892353672.51,9576539781.48,9576539781.48,4573921221.87,0.0,13.0,59600.0,6622.222222222223,0.0,13.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002377,2012,4,K70,A,916325201.0,196079316.77,0.0,455547866.98,1261146266.52,1261146266.52,976894057.81,0.0,9.0,11290.79,3763.5966666666654,0.0,9.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002387,2012,4,C39,A,1396796043.0,232976408.65,0.0,1597383.04,762873353.81,762873353.81,195886897.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002394,2012,4,C17,A,323700000.0,1414966168.64,0.0,220753218.32,2730919736.88,2730919736.88,2163404821.67,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002418,2012,4,C34,A,1136400000.0,63663091.97,0.0,160141330.04,1331915562.22,1331915562.22,793913061.4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002420,2012,4,C29,N,411290000.0,351146196.74,0.0,497403075.98,2234219085.82,2234219085.82,1590980025.38,0.0,12.0,7704.78,1284.13,0.0,12.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002422,2012,4,C27,A,1598053372.0,1980017947.0,0.0,1104927347.0,5885278617.0,5885278617.0,4048763962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA+,稳定,1,1,AA+,19.0,0.0,AA+,19.0,0.0
002431,2012,4,E48,A,1802404765.0,439114701.95,0.0,1027407868.3,3192991322.84,3192991322.84,1972271283.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA-,17.0,1.0
002434,2012,4,C36,A,1312600000.0,602494103.48,0.0,153724374.69,1552514357.07,1552514357.07,932940564.98,0.0,19.0,14482.78,851.9282352941176,0.0,19.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002450,2012,4,C29,D,3540900282.0,1568512559.39,0.0,192231423.08,2234623152.98,2234623152.98,725106669.96,0.0,12.0,188520.0,47130.0,0.0,12.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002479,2012,4,D44,A,737800000.0,508090990.54,0.0,129009543.12,2706121160.16,2706121160.16,1381141298.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002480,2012,4,C34,A,560000000.0,600438097.74,0.0,610592256.83,761760882.35,761760882.35,853646450.57,0.0,8.0,5000.0,5000.0,0.0,8.0,0.0,1.0,1.0,1.0,AA-,稳定,1,1,AA-,17.0,0.0,AA-,17.0,0.0
002485,2012,4,N78,A,544000000.0,235073348.71,0.0,299105940.48,1179422335.52,1179422335.52,1170245394.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,AA,稳定,1,1,AA,18.0,0.0,AA,18.0,0.0
002506,2012,4,C39,A,5850316427.0,7021122.2,0.0,3144188373.94,1637967028.55,1637967028.55,2181256457.77,0.0,80.0,395403.2399,5648.617712857143,1.0,79.0,0.0125,1.0,1.0,1.0,AA-,负面,1,1,AA-,17.0,-1.0,CCC,4.0,1.0
